STT,Tỉnh thành,Đơn vị bầu cử,Địa phận,Số ĐBQH
103,Kiên Giang,2,"các huyện: An Biên, An Minh, Vĩnh Thuận, U Minh Thượng và Châu Thành",3
104,Kiên Giang,3,"thành phố Rạch Giá, thị xã Hà Tiên và các huyện: Kiên Lương, Hòn Đất, Phú Quốc, Giang Thành",3
105,Kon Tum,1,"thành phố Kon Tum và các huyện: Kon Plông, Kon Rẫy, Sa Thầy, Ia H’Drai",3
106,Kon Tum,2,"các huyện: Đắk Hà, Đắk Tô, Tu Mơ Rông, Ngọc Hồi và Đắk Glei",3
107,Lai Châu,1,"thành phố Lai Châu và các huyện: Than Uyên, Tân Uyên, Tam Đường",3
108,Lai Châu,2,"các huyện: Phong Thổ, Mường Tè, Sìn Hồ và Nậm Nhùn",3
109,Lạng Sơn,1,"các huyện: Bắc Sơn, Bình Gia, Văn Quan, Chi Lăng và Hữu Lũng",3
110,Lạng Sơn,2,"thành phố Lạng Sơn và các huyện: Tràng Định, Văn Lãng, Cao Lộc, Lộc Bình, Đình Lập",3
111,Lào Cai,1,"thành phố Lào Cai và các huyện: Bát Xát, Sa Pa, Văn Bàn",3
112,Lào Cai,2,"các huyện: Bảo Thắng, Bảo Yên, Bắc Hà, Mường Khương và Si Ma Cai",3
113,Lâm Đồng,1,"thành phố Đà Lạt và các huyện: Lạc Dương, Đơn Dương, Đức Trọng",3
114,Lâm Đồng,2,"các huyện: Lâm Hà, Đam Rông và Di Linh",2
115,Lâm Đồng,3,"thành phố Bảo Lộc và các huyện: Bảo Lâm, Đạ Huoai, Đạ Tẻh, Cát Tiên",2
116,Long An,1,"các huyện: Đức Huệ, Đức Hòa, Bến Lức và Thủ Thừa",3
117,Long An,2,"thành phố Tân An và các huyện: Châu Thành, Tân Trụ, Cần Đước, Cần Giuộc",3
118,Long An,3,"thị xã Kiến Tường và các huyện: Thạnh Hóa, Tân Thạnh, Mộc Hóa, Vĩnh Hưng, Tân Hưng",2
119,Nam Định,1,"thành phố Nam Định và các huyện: Mỹ Lộc, Vụ Bản, Ý Yên",3
120,Nam Định,2,"các huyện: Nam Trực, Nghĩa Hưng và Trực Ninh",3
121,Nam Định,3,"các huyện: Xuân Trường, Giao Thủy và Hải Hậu",3
122,Nghệ An,1,"các huyện: Kỳ Sơn, Tương Dương, Con Cuông, Anh Sơn và Đô Lương",2
123,Nghệ An,2,"thị xã Thái Hoà và các huyện: Quế Phong, Quỳ Châu, Quỳ Hợp, Nghĩa Đàn, Tân Kỳ",3
124,Nghệ An,3,thị xã Hoàng Mai và các huyện: Yên Thành và Quỳnh Lưu,3
125,Nghệ An,4,"thành phố Vinh và các huyện: Thanh Chương, Nam Đàn, Hưng Nguyên",3
126,Nghệ An,5,"thị xã Cửa Lò và các huyện: Diễn Châu, Nghi Lộc",2
127,Ninh Bình,1,"thành phố Ninh Bình và các huyện: Nho Quan, Gia Viễn, Hoa Lư",3
128,Ninh Bình,2,"thành phố Tam Điệp và các huyện: Kim Sơn, Yên Khánh, Yên Mô",3
129,Ninh Thuận,1,"thành phố Phan Rang - Tháp Chàm và các huyện: Bác Ái, Ninh Sơn, Thuận Bắc",3
130,Ninh Thuận,2,"các huyện: Ninh Hải, Thuận Nam, Ninh Phước",3
131,Phú Thọ,1,"thành phố Việt Trì và các huyện: Tam Nông, Tân Sơn, Thanh Sơn, Thanh Thủy, Yên Lập",3
132,Phú Thọ,2,"thị xã Phú Thọ và các huyện: Phù Ninh, Lâm Thao, Đoan Hùng",2
133,Phú Thọ,3,"các huyện: Thanh Ba, Hạ Hòa, Cẩm Khê",2
134,Phú Yên,1,"các huyện: Phú Hòa, Đông Hòa, Tây Hòa, Sơn Hòa và Sông Hinh",3
135,Phú Yên,2,"thành phố Tuy Hòa, thị xã Sông Cầu và các huyện: Đồng Xuân, Tuy An",3
136,Quảng Bình,1,"thị xã Ba Đồn và các huyện: Minh Hóa, Tuyên Hóa, Quảng Trạch",3
137,Quảng Bình,2,"thành phố Đồng Hới và các huyện: Lệ Thủy, Quảng Ninh, Bố Trạch",3
138,Quảng Nam,1,"thị xã Điện Bàn và các huyện: Đại Lộc, Đông Giang, Tây Giang, Nam Giang, Phước Sơn",2
139,Quảng Nam,2,"thành phố Hội An và các huyện: Duy Xuyên, Quế Sơn, Nông Sơn, Thăng Bình, Hiệp Đức",3
140,Quảng Nam,3,"thành phố Tam Kỳ và các huyện: Núi Thành, Tiên Phước, Nam Trà My, Bắc Trà My, Phú Ninh",3
141,Quảng Ngãi,1,"các huyện: Bình Sơn, Sơn Tịnh, Trà Bồng, Tây Trà, Sơn Tây và Sơn Hà",2
142,Quảng Ngãi,2,"thành phố Quảng Ngãi và các huyện: Tư Nghĩa, Nghĩa Hành, Lý Sơ	n",3
143,Quảng Ngãi,3,"các huyện: Mộ Đức, Đức Phổ, Ba Tơ, Minh Long",2
144,Quảng Ninh,1,"thành phố Hạ Long, thành phố Cẩm Phả và huyện Hoành Bồ",3
145,Quảng Ninh,2,"thành phố Uông Bí và các thị xã: Đông Triều, Quảng Yên",2
146,Quảng Ninh,3,"thành phố Móng Cái và các huyện: Vân Đồn, Cô Tô, Tiên Yên, Đầm Hà, Hải Hà, Bình Liêu, Ba Chẽ",2
147,Quảng Trị,1,"các huyện: Vĩnh Linh, Gio Linh, Cam Lộ, ĐaKrông, Hướng Hóa và huyện đảo Cồn Cỏ",3
148,Quảng Trị,2,"thành phố Đông Hà, thị xã Quảng Trị và các huyện: Triệu Phong, Hải Lăng",3
149,Sóc Trăng,1,"thành phố Sóc Trăng, thị xã Ngã Năm và các huyện: Mỹ Tú, Châu Thành, Thạnh Trị",3
150,Sóc Trăng,2,"các huyện: Kế Sách, Long Phú và Cù Lao Dung",2
151,Sóc Trăng,3,"thị xã Vĩnh Châu và các huyện: Mỹ Xuyên, Trần Đề",2
152,Sơn La,1,"thành phố Sơn La và các huyện: Thuận Châu, Mai Sơn, Yên Châu",3
153,Sơn La,2,"các huyện: Mường La, Sông Mã, Sốp Cộp và Quỳnh Nhai",2
154,Sơn La,3,"các huyện: Mộc Châu, Vân Hồ, Phù Yên, Bắc Yên",2
155,Tây Ninh,1,"các huyện: Bến Cầu, Trảng Bàng, Gò Dầu và Châu Thành",3
156,Tây Ninh,2,"thành phố Tây Ninh và các huyện: Hòa Thành, Tân Biên, Tân Châu, Dương Minh Châu",3
157,Thái Bình,1,"các huyện: Vũ Thư, Hưng Hà và Quỳnh Phụ",3
158,Thái Bình,2,các huyện: Đông Hưng và Thái Thụy,3
159,Thái Bình,3,"thành phố Thái Bình và các huyện: Tiền Hải, Kiến Xương",3
160,Thái Nguyên,1,"các huyện: Đại Từ, Định Hóa, Phú Lương",2
161,Thái Nguyên,2,"thành phố Thái Nguyên và các huyện: Đồng Hỷ, Võ Nhai",3
162,Thái Nguyên,3,"thành phố Sông Công, thị xã Phổ Yên và huyện Phú Bình",2
163,Thanh Hóa,1,"thành phố Thanh Hóa, thị xã Sầm Sơn và các huyện: Hoằng Hóa, Đông Sơn",3
164,Thanh Hóa,2,"thị xã Bỉm Sơn và các huyện: Hà Trung, Nga Sơn, Hậu Lộc, Vĩnh Lộc, Thạch Thành",3
165,Thanh Hóa,3,"các huyện: Quảng Xương, Nông Cống, Tĩnh Gia, Như Xuân và Như Thanh",3
166,Thanh Hóa,4,"các huyện:  Triệu Sơn, Thiệu Hóa, Yên Định và Thọ Xuân",3
167,Thanh Hóa,5,"các huyện: Quan Hóa, Quan Sơn, Mường Lát, Lang Chánh, Bá Thước, Ngọc Lặc, Thường Xuân và Cẩm Thủy",2
168,Thừa Thiên Huế,1,"thị xã Hương Trà và các huyện: Phong Điền, Quảng Điền, A Lưới",2
169,Thừa Thiên Huế,2,thành phố Huế và thị xã Hương Thuỷ,3
170,Thừa Thiên Huế,3,"các huyện: Phú Vang, Phú Lộc và Nam Đông",2
171,Tiền Giang,1,"thị xã Cai Lậy và các huyện: Cái Bè, Cai Lậy",3
172,Tiền Giang,2,"thành phố Mỹ Tho và các huyện: Tân Phước, Châu Thành",2
173,Tiền Giang,3,"thị xã Gò Công và các huyện: Chợ Gạo, Gò Công Tây, Gò Công Đông, Tân Phú Đông",3
174,Trà Vinh,1,"thành phố Trà Vinh và các huyện: Càng Long, Cầu Kè, Tiểu Cần",3
175,Trà Vinh,2,"thị xã Duyên Hải và các huyện: Châu Thành, Cầu Ngang, Trà Cú, Duyên Hải",3
176,Tuyên Quang,1,"các huyện: Na Hang, Lâm Bình và Chiêm Hóa",2
177,Tuyên Quang,2,các huyện: Hàm Yên và Yên Sơn,2
178,Tuyên Quang,3,thành phố Tuyên Quang và huyện Sơn Dương,2
179,Vĩnh Long,1,"thành phố Vĩnh Long và các huyện: Long Hồ, Mang Thít, Tam Bình",3
180,Vĩnh Long,2,"thị xã Bình Minh và các huyện: Bình Tân, Trà Ôn, Vũng Liêm",3
181,Vĩnh Phúc,1,"thành phố Vĩnh Yên, thị xã Phúc Yên và các huyện: Vĩnh Tường, Yên Lạc",3
182,Vĩnh Phúc,2,"các huyện: Sông Lô, Tam Dương, Tam Đảo, Lập Thạch, Bình Xuyên",3
183,Yên Bái,1,"thành phố Yên Bái và các huyện: Yên Bình, Trấn Yên, Lục Yên",3
184,Yên Bái,2,"thị xã Nghĩa Lộ và các huyện: Văn Chấn, Trạm Tấu, Mù Cang Chải, Văn Yên",3
